,setup,map_id,smoke_level,trial_index,rmse,rmse_scale,hallucination_count,hallucination_count_total,hallucination_percent,undetected_count,undetected_count_total,undetected_percent,num_clusters,number_disparity,latency_fusion,latency_inference
126,FUSION,6,2,14,0.3993524415832732,10.874402442722415,8876,29488,0.30100379815518175,4308,32357,0.13313966066075347,41,194304,0.3427498986014063,0.3047077900251508
127,FUSION,6,2,4,0.39841958894978735,14.842103066092204,8738,30120,0.2901062416998672,4730,32357,0.14618166084618475,25,194015,0.3417577877984801,0.30475496924749695
128,FUSION,6,2,8,0.39856843618646254,16.33512680736209,8746,29637,0.29510409285690187,5262,32357,0.16262323453966684,40,193791,0.3406373231811861,0.3047935686017027
129,FUSION,6,2,7,0.4144074670683461,11.616178785677503,10953,32455,0.33748266830996765,5832,32357,0.18023920635411195,30,194983,0.34447498095281015,0.30458613143969204
130,FUSION,6,2,12,0.39968887951570503,8.345406493977892,10394,31740,0.32747321991178324,4747,32357,0.14670704947924715,28,193432,0.344363411214261,0.3048776108203548
131,FUSION,6,2,3,0.41235525462710304,18.918184729550152,10775,33009,0.3264261262080039,4099,32357,0.12668047099545693,27,193700,0.34721060620808203,0.30396374047838304
132,FUSION,6,2,6,0.3975314192257482,20.62202649961887,8393,29360,0.2858651226158038,5381,32357,0.16630095497110362,30,194448,0.3488848255854353,0.3045180632343775
133,FUSION,6,2,11,0.40568644608657156,15.74555966259984,9335,30666,0.3044087914954673,4516,32357,0.13956794511234044,33,193733,0.34725139826119455,0.3044667567444753
134,FUSION,6,2,1,0.40405351158356284,10.22220370828074,8479,29072,0.2916552008805724,5277,32357,0.16308681274531014,33,193927,0.3501268626344106,0.3043718074884596
135,FUSION,6,1,0,0.36636044328000483,21.271033107740635,7698,29869,0.25772540091733903,3936,32357,0.12164292116079983,61,258654,0.36724775961337197,0.3052486135882106
136,FUSION,6,1,5,0.40611406213646295,14.961668973665224,7076,22375,0.31624581005586594,8861,32357,0.27385109868034735,56,258954,0.3693213371306143,0.3049676504263598
137,FUSION,6,1,3,0.3832643974363366,17.279342558851646,7874,30148,0.26117818760780154,3748,32357,0.1158327409834039,62,258758,0.3664202204436021,0.30507133198880604
138,FUSION,6,1,9,0.3818115690521282,18.832415042041106,7549,28944,0.2608139856274185,3124,32357,0.09654788762864296,68,258787,0.3630899785824542,0.30476759977031115
139,FUSION,6,1,10,0.37926332823556735,17.42833423676797,6711,28317,0.23699544443267295,4284,32357,0.13239793553172421,59,259118,0.3696472019558338,0.30472437578444433
140,FUSION,6,1,1,0.37810718645221847,21.521616616638877,7049,28450,0.24776801405975396,3749,32357,0.11586364619711345,67,259257,0.36621023858518387,0.30466319904946565
141,FUSION,6,1,14,0.3945030032852097,14.642507177048916,6274,21230,0.2955252001884126,9256,32357,0.28605865809562075,56,259262,0.3741423067214365,0.3049172359487712
142,FUSION,6,1,8,0.36968700468379034,18.576491236689865,5321,25680,0.20720404984423677,3606,32357,0.11144420063664741,76,259314,0.372963681586029,0.3044471740722656
143,FUSION,6,1,12,0.3793568462820044,23.90785629818862,7692,30399,0.2530346392973453,3645,32357,0.11264950397131997,73,258748,0.3705038853398416,0.30457186434842365
144,FUSION,6,1,11,0.3727923884150076,21.07885996608183,7451,28919,0.2576506794840762,3568,32357,0.1102698025156844,62,258682,0.36709042116928464,0.304910779896349
145,FUSION,6,1,2,0.38317022457840993,22.022958251987596,7115,27025,0.26327474560592046,3812,32357,0.11781067466081528,68,258729,0.363638771667084,0.304818278397664
146,FUSION,6,1,4,0.4066956531679974,9.170152451412468,4669,17855,0.26149537944553347,13647,32357,0.4217634514942671,47,258586,0.36570929133127533,0.3047864513555785
147,FUSION,6,1,13,0.38235057139169526,23.903901035318626,7728,29254,0.2641690025295686,4025,32357,0.12439348518095003,58,259361,0.3727718192015507,0.30477907123399556
148,FUSION,6,1,7,0.37062092544792996,13.580725824692676,7601,29460,0.25801086218601493,4048,32357,0.12510430509626974,54,259004,0.36894060564178294,0.30528247503002975
149,FUSION,6,1,6,0.38435033901775506,21.587288874140523,7265,28094,0.25859614152488075,3914,32357,0.12096300645918967,66,258974,0.3760260080195825,0.3047218524739559
150,FUSION,6,0,4,0.3565713765248929,19.333927174239392,5687,27237,0.20879685721628666,4393,32357,0.13576660382606545,70,272466,0.3840297691360443,0.30506764032800093
151,FUSION,6,0,5,0.36470048718057313,11.449056992871071,5803,24530,0.23656746840603343,7121,32357,0.2200760268257255,84,272376,0.37111526158644587,0.3058007159559071
152,FUSION,6,0,8,0.34474405097783806,19.128624347661745,6399,28756,0.22252747252747251,4313,32357,0.13329418672930124,71,272061,0.37749472871729856,0.30486342947586065
153,FUSION,6,0,1,0.3626032826693754,20.170452042757407,6493,28302,0.2294184156596707,4507,32357,0.13928979818895448,78,272394,0.38153746758112533,0.3044080212712288
154,FUSION,6,0,10,0.3614100758513651,19.658799347198364,7605,29799,0.2552099063726971,3410,32357,0.10538677874957506,72,272392,0.37496361161114466,0.3046814933808569
155,FUSION,6,0,11,0.39979646365151567,8.838055449836727,1342,6635,0.2022607385079126,24782,32357,0.7658930061501376,23,272211,0.3739025827864526,0.3047077283912109
156,FUSION,6,0,3,0.3653098586817191,18.664386723703153,6142,28462,0.2157965005972876,4178,32357,0.1291219828785116,69,272682,0.3765214447870231,0.30343114089740364
157,FUSION,6,0,13,0.3963388845234203,10.826318477389838,5204,18824,0.27645558861028474,14755,32357,0.4560064282844516,47,272380,0.36929911503688895,0.3047612734663987
158,FUSION,6,0,12,0.35882536899087786,23.160546089492417,5736,27395,0.20938127395510128,3829,32357,0.11833606329387768,78,272332,0.37638998673781826,0.30536316652146595
159,FUSION,6,0,9,0.3701277725875708,18.709783950780267,7045,30215,0.2331623365877875,3892,32357,0.12028309175757951,60,272454,0.3785218737480738,0.3048090114215813
160,FUSION,6,0,7,0.3748555601011852,21.37931153783362,7669,30693,0.2498615319453947,4386,32357,0.1355502673300986,66,272412,0.3765298027814951,0.30489764973025313
